,,,price,CO2_emissions,url,is_electric,autonomous_range
ABARTH,595,1.4 T-Jet 145,20490,154,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595,False,
ABARTH,595,1.4 T-Jet 165 Turismo,23590,153,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595,False,
ABARTH,595,1.4 T-Jet 165 Turismo BVR,25090,154,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595,False,
ABARTH,595,1.4 T-Jet 180 Competizione,26990,156,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595,False,
ABARTH,595,1.4 T-Jet 180 Competizione BVR,28490,160,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595,False,
ABARTH,595,1.4 T-Jet 180 EsseEsse,29690,156,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595,False,
ABARTH,595,1.4 T-Jet 180 EsseEsse BVR,31090,160,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595,False,
ABARTH,595C,1.4 T-Jet 145,22990,161,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595C,False,
ABARTH,595C,1.4 T-Jet 165 Turismo,26090,159,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595C,False,
ABARTH,595C,1.4 T-Jet 165 Turismo BVR,27590,160,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595C,False,
ABARTH,595C,1.4 T-Jet 180 Competizione,29490,156,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595C,False,
ABARTH,595C,1.4 T-Jet 180 Competizione BVR,30990,165,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595C,False,
ABARTH,595C,1.4 T-Jet 180 EsseEsse,32090,156,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595C,False,
ABARTH,595C,1.4 T-Jet 180 EsseEsse BVR,33590,165,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/595C,False,
ABARTH,695,1.4 T-Jet 180 70° Anniversario,33190,155,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/695,False,
ABARTH,695,1.4 T-Jet 180 70° Anniversario BVA5,34690,153,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ABARTH/modele/695,False,
AIWAYS,U5,150 kW Standard,39300,0,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AIWAYS/modele/U5,True,410
AIWAYS,U5,150 kW Premium,42400,0,https://www.latribuneauto.com/caracteristiques-voitures-neuves/AIWAYS/modele/U5,True,400
ALFA-ROMEO,Giulia,2.0 Turbo 200 AT8 Super,45300,163,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Giulia,False,
ALFA-ROMEO,Giulia,2.0 Turbo 200 AT8 Ti,52700,163,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Giulia,False,
ALFA-ROMEO,Giulia,2.0 Turbo 200 AT8 Sprint,49700,163,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Giulia,False,
ALFA-ROMEO,Giulia,2.0 Turbo 280 AT8 Veloce,57500,159,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Giulia,False,
ALFA-ROMEO,Giulia,2.0 Turbo 280 AT8 Q4 Veloce,59900,171,https://www.latribuneauto.com/caracteristiques-voitures-neuves/ALFA-ROMEO/modele/Giulia,False,
