,,,,price,CO2_emissions,is_electric
ABARTH,124-Spider,2019,1.4 T-Jet 170,,148,False
ABARTH,124-Spider,2019,1.4 T-Jet 170 BVR,,153,False
ABARTH,124-Spider,2019,1.4 T-Jet 170 Scorpione,,148,False
ABARTH,124-Spider,2019,1.4 T-Jet 170 Scorpione BVR,,153,False
ABARTH,124-Spider,2019,1.4 Turbo 170,,146,False
ABARTH,124-Spider,2019,1.4 Turbo 170 Turismo,,146,False
ABARTH,124-Spider,2019,1.4 Turbo 170 Turismo BVA6,,161,False
ABARTH,124-Spider,2019,1.4 Turbo 170 GT,,146,False
ABARTH,124-Spider,2019,1.4 Turbo 170 GT BVA6,,161,False
ABARTH,595,2021,1.4 T-Jet 145,,163,False
ABARTH,595,2021,1.4 T-Jet 165 Turismo,,139,False
ABARTH,595,2021,1.4 T-Jet 165 Turismo BVR,,134,False
ABARTH,595,2021,1.4 T-Jet 180 Competizione,,139,False
ABARTH,595,2021,1.4 T-Jet 180 Competizione BVR,,134,False
ABARTH,595,2021,1.4 T-Jet 180 EsseEsse,29490,171,False
ABARTH,595,2021,1.4 T-Jet 180 EsseEsse BVR,30990,172,False
ABARTH,595,2021,1.4 T-Jet 165 Scorpionero,25390,167,False
ABARTH,595,2021,1.4 T-Jet 165 Monster Energy Yamaha,27790,167,False
ABARTH,595,2021,1.4 T-Jet 165 Scorpionero BVR,26890,166,False
ABARTH,595,2021,1.4 T-Jet 165 Monster Energy Yamaha BVR,29290,166,False
ABARTH,595,2021,1.4 T-Jet 145 BVR,,134,False
ABARTH,595,2021,1.4 T-Jet 160 Pista,,139,False
ABARTH,595,2021,1.4 T-Jet 160 Pista BVR,,134,False
ABARTH,595,2021,1.4 T-Jet 165 Pista,,167,False
ABARTH,595,2021,1.4 T-Jet 165 Pista BVR,,166,False
ABARTH,595,2020,1.4 T-Jet 145,,163,False
ABARTH,595,2020,1.4 T-Jet 165 Turismo,,139,False
ABARTH,595,2020,1.4 T-Jet 165 Turismo BVR,,134,False
ABARTH,595,2020,1.4 T-Jet 180 Competizione,,139,False
ABARTH,595,2020,1.4 T-Jet 180 Competizione BVR,,134,False
ABARTH,595,2020,1.4 T-Jet 180 EsseEsse,29490,171,False
ABARTH,595,2020,1.4 T-Jet 180 EsseEsse BVR,30990,172,False
ABARTH,595,2020,1.4 T-Jet 165 Scorpionero,25390,167,False
ABARTH,595,2020,1.4 T-Jet 165 Monster Energy Yamaha,27790,167,False
ABARTH,595,2020,1.4 T-Jet 165 Scorpionero BVR,26890,166,False
ABARTH,595,2020,1.4 T-Jet 165 Monster Energy Yamaha BVR,29290,166,False
ABARTH,595,2020,1.4 T-Jet 145 BVR,,134,False
ABARTH,595,2020,1.4 T-Jet 160 Pista,,139,False
ABARTH,595,2020,1.4 T-Jet 160 Pista BVR,,134,False
ABARTH,595,2020,1.4 T-Jet 165 Pista,,167,False
ABARTH,595,2020,1.4 T-Jet 165 Pista BVR,,166,False
ABARTH,595,2019,1.4 T-Jet 145,,163,False
ABARTH,595,2019,1.4 T-Jet 165 Turismo,,139,False
ABARTH,595,2019,1.4 T-Jet 165 Turismo BVR,,134,False
ABARTH,595,2019,1.4 T-Jet 180 Competizione,,139,False
ABARTH,595,2019,1.4 T-Jet 180 Competizione BVR,,134,False
ABARTH,595,2019,1.4 T-Jet 180 EsseEsse,29490,171,False
ABARTH,595,2019,1.4 T-Jet 180 EsseEsse BVR,30990,172,False
ABARTH,595,2019,1.4 T-Jet 165 Scorpionero,25390,167,False
ABARTH,595,2019,1.4 T-Jet 165 Monster Energy Yamaha,27790,167,False
ABARTH,595,2019,1.4 T-Jet 165 Scorpionero BVR,26890,166,False
ABARTH,595,2019,1.4 T-Jet 165 Monster Energy Yamaha BVR,29290,166,False
ABARTH,595,2019,1.4 T-Jet 145 BVR,,134,False
ABARTH,595,2019,1.4 T-Jet 160 Pista,,139,False
ABARTH,595,2019,1.4 T-Jet 160 Pista BVR,,134,False
ABARTH,595,2019,1.4 T-Jet 165 Pista,,167,False
ABARTH,595,2019,1.4 T-Jet 165 Pista BVR,,166,False
ABARTH,595C,2021,1.4 T-Jet 145,,139,False
ABARTH,595C,2021,1.4 T-Jet 165 Turismo,,139,False
ABARTH,595C,2021,1.4 T-Jet 165 Turismo BVR,,134,False
ABARTH,595C,2021,1.4 T-Jet 180 Competizione,,139,False
ABARTH,595C,2021,1.4 T-Jet 180 Competizione BVR,,134,False
ABARTH,595C,2021,1.4 T-Jet 180 EsseEsse,31490,171,False
ABARTH,595C,2021,1.4 T-Jet 180 EsseEsse BVR,32990,172,False
ABARTH,595C,2021,1.4 T-Jet 165 Scorpionero,27390,167,False
ABARTH,595C,2021,1.4 T-Jet 165 Monster Energy Yamaha,28790,167,False
ABARTH,595C,2021,1.4 T-Jet 165 Scorpionero BVR,28890,166,False
ABARTH,595C,2021,1.4 T-Jet 165 Monster Energy Yamaha BVR,30290,166,False
ABARTH,595C,2021,1.4 T-Jet 145 BVR,,134,False
ABARTH,595C,2021,1.4 T-Jet 160 Pista,,139,False
ABARTH,595C,2021,1.4 T-Jet 160 Pista BVR,,134,False
ABARTH,595C,2021,1.4 T-Jet 165 Pista,,167,False
ABARTH,595C,2021,1.4 T-Jet 165 Pista BVR,,166,False
ABARTH,595C,2020,1.4 T-Jet 145,,139,False
ABARTH,595C,2020,1.4 T-Jet 165 Turismo,,139,False
ABARTH,595C,2020,1.4 T-Jet 165 Turismo BVR,,134,False
ABARTH,595C,2020,1.4 T-Jet 180 Competizione,,139,False
ABARTH,595C,2020,1.4 T-Jet 180 Competizione BVR,,134,False
ABARTH,595C,2020,1.4 T-Jet 180 EsseEsse,31490,171,False
ABARTH,595C,2020,1.4 T-Jet 180 EsseEsse BVR,32990,172,False
